alcohol 1
almond 3
american cheese 7
apple 2
apple juice 1
banana 2
bean 3
beef 8
blackberry 2
black pepper 4
bread 6
broccoli 2
brown sugar 4
butter 7
cabbage 2
carrot 2
cashew 3
cauliflower 2
celery 2
cheddar cheese 7
cherry 2
chicken 8
chocolate 4
cinnamon 4
cod 8
corn 2
cornflake 6
cottage cheese 7
crab 8
creme de cacao 1
cucumber 2
egg 7
flour 4
garlic 2
grapefruit 2
grape 2
grape juice 1
green bean 3
haddock 7
ham 7
honey 5
ice cream 7
kidney bean 3
lamb 7
lemon 2
lentil 3
lettuce 2
macaroni 6
milk 7
mushroom 2
oil 4
olive 2
onion 2
orange 2
paprika 4
pasta 6
peach 2
peanut 3
pear 2
peas 2
pepper 2
pineapple 2
plum 2
pork 7
rum 1
salmon 7
salt 4
saltine crackers 6
spaghetti 6
spinach 2
strawberries 2
sugar 4
sweet potato 2
syrup 5
thyme 4
tomato 2
wine 1
beer 1
chocolate chips 4
peanut butter 5
avocado 2
brown rice 6
eggplant 2
kale 2
mango 2
pancake mix 4
oatmeal 6
zucchini 2
